state,name,land_area_sqmi,land_area_sqft,water_area_sqmi
AK,Platinum city,47.265,1317672576,0.046
AK,Pleasant Valley CDP,31.075,866321280,0.000
AK,Point Baker CDP,0.879,24505114,0.000
AK,Point Hope city,5.019,139921690,0.072
AK,Point Lay CDP,28.508,794757427,3.782
AK,Point MacKenzie CDP,162.324,4525333402,2.470
AK,Point Possession CDP,41.975,1170195840,0.000
AK,Pope-Vannoy Landing CDP,56.855,1585026432,9.167
AK,Port Alexander city,3.940,109840896,11.627
AK,Port Alsworth CDP,22.550,628657920,0.156
AK,Port Clarence CDP,34.054,949371034,0.971
AK,Port Graham CDP,6.400,178421760,0.000
AK,Port Heiden city,46.196,1287870566,0.879
AK,Port Lions city,4.986,139001702,3.740
AK,Port Protection CDP,3.709,103400986,0.199
AK,Portage Creek CDP,13.171,367186406,0.000
AK,Primrose CDP,34.469,960940570,1.035
AK,Prudhoe Bay CDP,390.364,10882723738,179.611
AK,Quinhagak city,4.250,118483200,0.436
AK,Rampart CDP,169.826,4734477158,0.076
AK,Red Devil CDP,25.159,701392666,2.530
AK,Red Dog Mine CDP,67.998,1895675443,0.855
AK,Ridgeway CDP,16.810,468635904,0.895
AK,Ruby city,7.025,195845760,0.000
AK,Russian Mission city,5.367,149623373,0.361
AK,Salamatof CDP,8.031,223891430,0.170
AK,Salcha CDP,75.212,2096790221,1.750
AK,Sand Point city,8.013,223389619,22.279
AK,Savoonga city,5.872,163701965,0.000
AK,Saxman city,0.967,26958413,0.000
AK,Scammon Bay city,0.464,12935578,0.004
AK,Selawik city,1.979,55171354,0.964
AK,Seldovia Village CDP,18.147,505909325,1.105
AK,Seldovia city,0.390,10872576,0.158
AK,Seward city,13.960,389182464,7.930
AK,Shageluk city,10.308,287370547,1.192
AK,Shaktoolik city,1.068,29774131,0.009
AK,Shishmaref city,2.312,64454861,4.953
AK,Shungnak city,8.036,224030822,0.946
AK,Silver Springs CDP,2.540,70811136,0.000
AK,Sitka city and borough,2870.201,80016611558,1904.253
AK,Skagway CDP,9.466,263896934,0.049
AK,Skwentna CDP,438.612,12227800781,7.247
AK,Slana CDP,252.679,7044286234,0.983
AK,Sleetmute CDP,97.948,2730633523,6.690
AK,Soldotna city,6.932,193253069,0.443
AK,South Lakes CDP,7.802,217507277,0.478
AK,South Naknek CDP,88.227,2459627597,2.358
AK,South Van Horn CDP,7.870,219403008,0.682
